qid,video_id,start,end,question,a0,a1,a2,a3,answer_id
806,xDAsu2Cm-7U_120_180,6.16,42.52,Why do you want to be a cook?,No i am not interest cooking mostly time,I am only tasty healthy eating,Say you have a passion for food and enjoy cooking,Yes iam not interest the art,2
4949,Om62SEnkd1M_120_180,37.5,51.11,Why does the man smash open the coconut?,To drink the coconut milk,To damage his knife,To look inside,To pour the milk into the blender,3
35722,KPskv35GpHk_180_240,0.0,9.25,What color is the woman's apron?,The apron is blue,The apron is yellow,It's white,The apron is red,2
16027,ucpEDXsuwfg_0_60,0.0,30.9,What type of vehicle is mentioned in this video?,Cycle,Bike,Car,Truck,2
25110,5AXyjWcj2Ds_60_120,0.0,7.01,What is in the sky?,Birds,Clouds,Airplane,Kites,1
32447,xnc_vGPnCas_180_240,0.0,13.78,What is a tell when some blider?,Reading book,Go to sleep,The men explain the blider and demo,Sing song,2
36197,nDsSK_uDR0Y_0_60,25.51,30.01,Where can you find all of the measurements related to this recipe?,In this video and thats it,Www.lauraatthespa.com,A 1-800 number,"On her website, www.laurainthekitchen.com",3
36025,4DJjhvPO3H8_0_60,50.03,60.03,How many baby dolls are shown on the video clip?,Five,Four,Six,Seven,1
1621,yAKf97xYcAM_60_120,22.65,47.98,What is made in the video?,A new car,Cheap insurange,The old man made different dish and making instruction,Good lawyers,2
42004,bmJrpRdepuA_60_120,1.8,5.4,What was demonstrated in this video?,Put cover for car,Covers for seat,How to put seat cover for vehicles,Put a seat cover for the car front left,3
13956,IifVJo-11FM_120_180,42.72,52.04,What animal is shown in the video?,Cutting is not good,Bad appearance,Dog,Not roasted,2
22698,yXAFo6rehm8_180_240,9.17,49.11,What dish is the lady preparing?,Doing food,Rice with green beans,Cutting fruits,Cutting vegetables,1
24255,FMF0uMQsnc8_60_120,6.34,9.77,What do you seen in this video?,Mixing paste,Mixture of ginger garlic paste,Some mixture,Paste mixture,1
36522,GFEc6O3FWRY_180_240,14.21,22.37,What is the man holding in it's hand?,An axe,He's holding a pair of scissors,A knife,He is holding a hatchet,0
11064,pt0U7IgXxGo_60_120,0.0,17.55,What is this?,The man explain some silver product how to fit the product,Eat a apple,Dog cry,Go to school,0
26228,oxyhvV74UNk_120_180,8.59,18.41,How many bowls are there?,2,3,4,1,3
20774,bUXoKWpMJfs_180_240,35.52,52.54,When does the engine get turned off?,23,Before the demonstrator starts using second can,24,26,1
25314,OVQaRSBalaA_0_60,41.12,45.92,What is the person taken in the cup?,Milk,Vinegar,Water,Sugar,3
247,1469i,0.0,7.5,What is the color of the font?,It is green,It is white,It is yelloe,It is blue,2
29255,7xYvDsIiujM_180_240,6.58,49.67,What color of dress the middle woman wear?,Black,Orange,Red,Blue,3
7542,LVmyqa3ZTZ0_120_180,51.15,58.59,How much this thing costs?,Free,12,"1,000",2,1
21099,Q34O-wiHHuU_120_180,36.37,57.84,Why did the man bring up the card picture?,Good in the make,Good in the make,To visually represent it,Very good video,2
14211,ZwejPPQ0DCE_120_180,0.0,30.81,What is the girl touching?,Phone,Remote,Knife,Green colour child diaper,3
42257,o8NTzT5N_6Y_0_60,18.01,60.03,What is the item she showed?,A cup,A flower,A bottle,A lotion,3
37006,yk2RoBbt4Uw_180_240,13.61,28.78,When does the woman start to spoon out some rice?,After the boil has boiled,After the water has evaporated,After first adding it,After adding water,0
1761,Y4BwEkW-Jac_180_240,0.0,10.49,How much milk did she add?,3 cups,1 and 2/3 cups,1/2 gallon,A gallon,1
27862,x2rcnIHjTTA_120_180,2.81,8.74,How many of them were speaking?,15,2,10,25,1
41872,p_AUoXrWZLw_0_60,18.91,60.03,What he explain?,Using bowl,He is explain how to make guava smoothie,Using lighter,Using pan,1
29742,yqNnpg573hk_60_120,7.62,24.69,What is the shape of the piece?,Curved shape,Decoration items,Watches,Photo frames,0
25914,d-xihwYNVNs_0_60,0.0,3.6,What is the lady sitting on?,Short hair,Her white shirt,An office chair,A gold necklace,2
10929,u84p4Syt0Jg_60_120,19.51,24.31,What does the man put the pepper on?,On a salad,On carrots,He puts it on steak,He puts it on chicken,2
6477,POemF-8on9A_0_60,18.61,60.03,What happen?,Economy,He is explain the own experience,Gaming,Never watering,1
25567,rSKoBuMlX0U_60_120,16.56,23.12,What is ginger known as in this video?,Anti-inflammatory agent,A car,A bus,A truck,0
16667,8tDlLGas1iU_60_120,22.13,36.68,What is the lady talking about?,Preparing recipe,Jellyfish,Starfish,Kings,0
38579,M4Ov6u4OvIk_60_120,23.57,29.83,How many box are there?,3,2,1,10,3
15202,QCF2koqM1jw_120_180,16.77,51.51,What are doing him?,Oil mix,Making cake,The woman explain to new plant prepare,Cooking,2
37192,NcvMkjBXPaQ_180_240,31.12,43.38,Which food ingredient is being cut by the chef?,Cilantro,Lime,Scallion,Parsley,2
38810,6h2WIVrlp48_60_120,0.0,18.13,What type of material is mentioned in this video?,Paracord,Cloth,Paper,Coir,0
27959,1717i,0.0,6.9,What is behind the lady in black?,A dog,A log,Some curtains,A cat,2
132,3L8t1-XPerQ_120_180,8.1,18.91,Which animal is being drawn and painted?,A mouse,A cat,An elephant,A bird,3
13446,tZTVlNbK-SI_0_60,2.4,12.6,How does the woman suggest the viewer to get healthy with her?,Hard cycling,Long running,Healthy baking,Oil-free frying,2
11103,zfOlmihVXX8_0_60,39.02,43.52,How many times he shake his hand?,200 times,15 times,5 times,100 times,2
28729,fAZnngJ0EA4_180_240,16.46,49.68,When the man is what is doing in this video?,Salad,Mangolemon,Making,The man is making a salad,3
2255,arog77pZ-A0_0_60,0.0,26.4,What is the dish is about?,Cucumber dish,Rice making,Juice making,Butter making,0
10632,gOr-IhA20KE_180_240,8.82,24.94,What is the woman wearing on finger?,Wedding ring,A tattoo,Promise ring,A string,0
6257,aT1xxCARrnM_120_180,9.18,54.78,What works doing?,Chart,Making a ribbon,Nail,Wood,1
19165,MrCdQtms06I_0_60,12.9,60.0,What is the color of the gloves the woman uses on the video clip?,Violet,White,Blue,Black,0
21364,i0rOO7F8h2U_180_240,39.02,60.02,Why is there a fork in this scene?,To beat eggs in a bowl,To eat food,To stir a mixture,To turn over cooking meat,1
4930,s-IBqUGQPBI_0_60,21.61,44.71,What he is cooking?,Long white dress,Western wear,Function wear,Salad,3
12643,Z1NEMNKgR9U_60_120,42.74,47.35,What button is pressed on the blender?,Second button,First button,The last button,Middle button,2
150,IiQ3xbQFmfs_0_60,16.81,56.43,What is the room man standing?,Bathroom,Bedroom,Machine shop,Kitchen,2
42685,5diV83PLpDg_180_240,0.0,31.93,What is the video about?,Drawing,Cooking,Dancing,Swimming,1
10361,jp612uB3FnQ_60_120,0.0,6.44,What does person crack over plate?,A stick,A glowstick,A cracker,A pencil,1
18133,1537i,22.21,36.02,How many balls are there?,17,15,16,18,1
26128,MeDvNXAJ7vY_60_120,0.31,21.36,What is the name of the owener of the property?,Delicious,So healthy,Mike kraft,Healthy,2
30168,bjXHUy6wojA_60_120,19.67,35.1,How many of them were working?,1,5,6,2,0
26751,CKAYGLNEGxI_180_240,12.25,25.51,What kind of action is this?,Lubrication,Gearing,Ignition,Hitting,1
3624,EoAZ-u6hn6g_60_120,19.62,25.05,Where did the man put the cardboards?,Lights,Table,Couch,Counter,0
34917,ct_B9d-smNQ_0_60,36.02,46.52,What kind of oil is featured in the video?,Gardening,Olive oil,Cooking,Two wheeler parts,1
18902,eZsy6xUU3kE_120_180,0.0,12.66,What is he making with the wrapped wire?,A branch,A bolt of lightning,A table,A chair,0
40443,jRwsXNE1R3s_120_180,0.0,54.91,What is the person doing?,To learn about the properties of water,Making a video on how to use a machine,To know about floods,To explore things inside,1
7360,TfXcWdJ6WuY_60_120,18.78,29.55,What is the person playing?,Basketball,Cricket,Football,Billiards,3
39946,Sfk2Pk1E5kQ_120_180,5.85,50.84,What is being shown here in the video?,Cleaning home,Cooking in kitchen,Man repairing car,Washing car,2
20519,XBVM1-M6xlE_60_120,0.0,19.98,What website is mentioned in this video?,Www.fullyraw.com,Www.fullraw.com,Www.fully.com,Www.raw.com,0
33672,ueoFKe2J8yo_120_180,0.0,7.3,How many plastic covers available in this clip?,Five,Three,Two,One,1
25167,e_1260c,0.3,59.7,What colour was the first powder?,Blue,Green,Yellow,Orange,1
22942,bZ1OFlNU9Wg_60_120,0.0,10.49,What fruit is the man holding in his hand?,An apple,A banana,An orange,A lemon,2
13258,nyAr5SrY3OQ_180_240,13.4,16.38,What does the lady add to the green bean?,Some ingredient,Olive oil,Some oil,Some essence,1
19648,G_SgQjKZ5cw_180_240,13.26,28.07,How many bowls are there?,1,17,15,16,0
6299,IPGhVXXJjRU_120_180,0.95,9.98,What is the person trying to remove?,Small wires,Small battery,Car engine,Car paint,1
32068,n8zzKgFSJsw_180_240,0.0,4.87,Which one is showed by the man in this video?,Into one large piece,Into hamburgers,Into two or three separate pieces,One leaf,3
21860,oUTJzHGexOI_0_60,50.04,60.04,What kit did he say?,He said lovely kit,He sait bottel kit,He said gas kit,He said first aid kit,3
1154,HKZio9VH7YY_0_60,29.41,40.82,Why are these products being shown?,The man is hunting the fish,The man is teaching the children,The boat is sailing above the waves,Because they are used for various craft projects,3
22127,e0qpT20c2gk_120_180,16.99,33.69,Which hand tool is used for this step for the craft?,A filer,A pair of scissors,A ruler,A hammer,3
1402,x3FFequc7rE_0_60,12.01,21.91,What is the man growing his herbs in?,Planter,Garden,Grow box,Flower pot,2
2291,ytc2IYsV2Jg_60_120,0.0,37.49,Where is the video shooted?,In the garden,Bowl,Pot,Pan,0
21090,B4mcIsODKro_0_60,6.9,9.9,What is the color of the cup?,It is green,It is white,It is orange,It is red,1
27167,ji0zVEwcLEk_0_60,6.6,27.31,How many cup butter are added?,2 cup,One cup butter has is added,5 cup,10 cup,1
2756,NM6BMJdvB_M_120_180,15.41,45.3,What are rats famous?,The boy is preparing the ice cream,Rats are famous for being able to chew through things,The girl is diving into the sea,The coffee cup is hold in lady hand,1
27587,kyMlA96lxjg_0_60,19.51,40.52,How does the lady making dish?,Sleeping,Playing,The lady making the mango rice and explain,Lying,2
5815,t2NBDIzyoa4_120_180,36.31,42.62,What is the person cutting?,Apple,Kiwi,Orange,Tomato,3
35948,7fL8i7YQ2IQ_60_120,19.21,44.12,What is the game?,Billiards,Badminton,Soccer,Tennis,0
12471,rGbrno1PY5o_180_240,9.15,13.87,What color is the brush?,There is no brush used,Yellow,White,Brown,1
41200,p2IeREUAtOI_0_60,14.11,23.11,How many person seen in this video?,4,3,1,24,3
35415,i7BFmGJIA6Q_120_180,10.8,43.22,When the lady is what is doing in this video?,Salt,Water,The lady is making a tea and explaining the taste,Sugar,2
23345,Sy9r0gtedaQ_60_120,8.94,43.15,Why do you want to be a cook?,I am not tasty healthy eating,Yes i am eating vegtable,Say you have a passion for food and enjoy cooking,No i am not interest mostly time,2
16534,SiIvZ7_vvzM_0_60,46.81,51.62,When do you prepare your pan?,After adding flour,While the solution is coming to a boil,After adding eggs,After adding water,1
27705,4p5GR2RSc4M_60_120,18.17,30.67,What kind of animals are running around in the video?,They are squirrels,The animals are dogs,They are cats,They are raccoons,1
42537,GD7l4kSu-Gg_180_240,20.41,33.01,What are the objects discussed here?,Baby's milk,How to make a baby bottle,Pregnancy and caring for a baby,Baby bottles,3
27837,N1xWN689DQI_60_120,9.76,43.33,What do say she tell?,He is a pilot,He is a army man,She is cooking in some dish,He is a doctor,2
38490,UNf9722cX8A_0_60,11.7,14.7,What does the man pour the white bowl into?,Green bowl,Black bowl,Blue bowl,Clear bowl,3
7097,XAcUd0FESsI_0_60,28.5,33.3,Which are the last two foods to appear?,French fries and canned drink,Bus,Plane,Van,0
3177,i_Hq1riYJso_60_120,4.88,10.98,Which ingredient is optional?,Vanilla extract,Sugar,Milk,Coffee grounds,3
41650,4TcOC_bcNmg_60_120,0.0,2.74,What kind of fruit is being sliced on the cutting board?,Lemon,Grapefruit,Lime,Orange,2
40251,Uv5GCg2wdG8_120_180,53.1,61.74,What is the title of the word document?,Assignment 4,Document1,Untitled,Home project,1
41326,htnackt8FD4_60_120,5.52,9.81,Where did the man put the screwdriver?,In the hole,On top of machine,On the floor,On the table,0
18184,QZYCL3XX2Ls_180_240,7.62,42.39,How to cook great food?,The man woman showing cooking,Reading book,Cook a food,Studyinh,0
19846,N_SeT1DYkfc_0_60,9.3,19.81,Who is featured in this video?,Elon musk,Daniel dubois,Anthony joshua,Mark ferris,3
372,e_483c,14.91,38.46,What she is doing?,Writing,Cooking,Painting,Dancing,1
15827,MxdMk5X06Sg_0_60,9.9,13.21,What shape was the logo?,Circular,Triangle,Oval,Square,0
35833,f-gwhMDFOHE_180_240,0.0,3.6,What is the kitchen tool shown in the tutorial?,Electric hand mixer,A garlic press,An air fryer,A convection oven,0
29476,nyNPIQ2g-T8_180_240,16.04,52.75,How do prepare milk bottle?,Traveling,The woman is explain the bottle and instructions,Cooking,Smooking,1
10758,5OxfowXUU_U_0_60,5.1,48.6,What she doing?,Vanilla flavored ice cream,Ice cream,Some sepecific ingireans is boiling,Vanilla ice cream,2
26549,_3M8MT2heBE_0_60,9.9,38.7,Why juice is bad for you?,Iam so tried to you making cooking,Iam not stitched long cloth machian,Calorie fruits juice is worse for you than fizzy drinks,Iam not cooking vegetable eating,2
39054,KM9zs8ilalk_60_120,2.5,22.46,What is the man fixing in the door top?,Lock,Frame,Needle,Photo,0
5993,rRaeGDyB3WI_60_120,14.14,47.82,How many hands are in this video?,Seven,Two hands,Six,Ten,1
14850,1483i,12.52,17.1,What colour ball does the man knock into the pocket?,White,Pink,Orange,Red,3
854,pQFcwy_-d_0_0_60,24.31,45.92,What color is the ipod?,Gold,Lavender,Black,Ruby,2
17118,Wzfa0GxI-t8_120_180,56.7,61.01,How likely is it that you will be able to get the gummy out perfectly?,How to fix the car,None of these above,He is making a music video,Not possible,3
37359,wVEKkU14Y4s_120_180,24.93,60.07,How old the man age?,The man age 18,The man age small boy,The man age is 55,The boy age 2,2
15092,Xv17e6cQ67M_120_180,25.27,61.63,Is it she only helping her pet dog to take bath?,She get the dog to bath,"No, she advertising about the shampoo to use to clean pets also",She poured the shampoo on her pet to clean wash,She told the this pets shampoo is effective,1
38633,e_1289c,4.8,9.0,How many squares of clay are shown in the video?,3,4,5,6,3
23239,swXu2gfj3C4_0_60,27.91,33.01,Where is the woman standing in this video?,Living room,Bed room,Standing in kitchen,Store room,2
22028,NUW2l9jA4_g_0_60,0.6,14.41,What does the women explains about?,Piano,Drums,Flute,Making stainless steel clock,3
38834,xr2yJ6UFDoc_60_120,9.9,55.22,Which one the lady holding in her hand and talking?,Paper cup,Silver cup,Plastic cup,Coffee mug,3
32783,fV5IdXR96A8_180_240,0.0,8.06,Where did the man pour the ashes from?,Tonight's meal,Sewage system,A metal bucket,Food for her pets,2
14885,LB3rs_o_O3w_60_120,42.92,55.82,What alcohol is poured into the glass?,Drain cleaner,It is absinth,Cold beer,Fresh blood,1
21375,tV-NJsBi2pk_180_240,0.0,18.79,What is not needed for the mango portion of the popsicle?,Water,Lemon,Mango,Sugar,3
26413,rmeeFGf4_pA_120_180,11.16,40.31,What is the healthiest food to eat?,The man gives a idea about growing plant,The girl gives a idea about repairing the bike,The football ground is shown in the video,Avocados.avocados are different than most fruits,3
20064,fP6dpKJLhao_0_60,11.1,31.5,Which fruit is put into the mixer jar?,Dress,Makeup product,Banana,Pen,2
28052,YSVmQCdd9WE_60_120,29.57,33.83,How does the woman present the hearing aid dryer tub?,She holds it in both hands up to the camera,She points at it on the table,She holds it far away from the camera,She holds it in one hand up to the camera,3
16978,83MJYrlvaME_60_120,4.2,12.61,What does the person doing in this video?,Man playing with kids,The person doing some hand crafted work,Man asking help to others,A man jumping the wall,1
32643,JqtvofMSdTw_60_120,34.81,44.12,How does the woman mix the substance?,With her bare hands,With a stick,With a spoon,Using a handheld blender,3
21425,eSlJqpiev4E_120_180,26.52,62.4,What does that person doing?,That person reparing a table fan,He is stiching a shirt,He is changing the light,That person repairing a electronic circute,3
9670,McmEyvRBBSs_60_120,12.58,34.35,What is color of the material is using?,Black,Blue,Yellow,Red,1
14731,CSN7lrWOLUA_0_60,18.01,24.91,What is the color of her tshirt?,Blue,Baby pink,Green,Yellow,1
42507,E-v9rsvKKa4_120_180,30.31,42.32,What guide is shown at the top and left side of the red box?,Tape measure,Straight edge,Ruler,Lines,2
9333,DwlMJeRExMI_120_180,16.7,49.49,What is object?,Cover,Oil mix,The man and lady to explain the herb plants,Making cake,2
14182,RrcJkKg4RZA_180_240,32.34,41.62,What was the last step?,Replace the bolt handle,Remove barrel,Remove bolt handle,Replace barrel,0
21266,oq7qGkNsx6c_120_180,9.86,40.06,Why do you want to be a cook?,Iam going to sleeping now,Slowly only handle the plants,Yes iam not interest the plants,Say you have a passion for food and enjoy cooking,3
10555,rozEkjok6a8_120_180,44.12,50.12,What does the woman used in this video?,Baby bottle,The woman used feeding bottle,Baby product,Baby tool,1
30556,7SPS-mzB7g4_0_60,0.0,8.1,What prominent symbol is being shown?,A stop sign,A skull,A dove,A star,1
11047,VfqRr0c1n1w_120_180,19.42,38.22,What creature he is explaining?,Fire craft,Aircraft creature,Seacraft,Land creature,1
32130,smS20a1Hbec_180_240,7.76,59.7,What the man show it?,She using her phone while explaing,He show a organic leaves he explain about it and its uses also,Saw a river,Playing cards,1
1466,ij7mo3emKQE_0_60,16.8,21.6,Where does the man place the napkin?,In the trash can,On his lap,On the plate,On the counter,3
6831,lTZ7A3HYwUw_0_60,10.8,38.41,What is the healthiest food to eat?,The girl gives a idea about repairing the bike,The girl gives a idea about football,The football ground is shown in the video,Avocados.avocados are different than most fruits,3
41538,E_0F9qL42OE_180_240,2.75,33.65,How many caps are in this video?,Ten,Eleven,Six,Seven,2
24758,Ay9Y-Xg8Q7w_0_60,0.0,10.5,What is the woman's name in the video?,Siobhan ingram,Lacey charmed,Sarah wisenut,Alysia vance,0
31336,w4FcgdhiLg0_60_120,6.46,11.39,What is they doing?,Standing,Cooking,Sleeping,Drawing,3
14513,XYTqzAN4JtM_60_120,0.0,30.91,What color of dress is he wear?,Black,Grey,Green,Orange,1
29919,RpMEION6DtQ_60_120,0.0,10.36,What is shown in this video?,A machine,A sailboat,An anchor,A piece of celery,0
15499,Pktdww_bBVo_180_240,6.84,43.53,How to make spicy food?,Green,Brown,White,The man showing and explaning spicy food,3
5724,0n-kcQuuwTY_180_240,16.66,30.54,Which diaper option is more economic?,Using mama pokopants,Using nothing,Covers and prefolds,Using huggies diapers,2
41011,VK3eBrM5cLE_120_180,45.68,54.32,How does the person know the instructions for operating the device?,He references an online guide,He calls a friend,He has an instruction sheet,He listens to a radio,2
24150,yl_aviXjAvQ_120_180,0.0,30.61,Did you learn something form the vedio?,The tips was not good,The brand was not good,The voice was breaking,Yea i learnt something new,3
4562,zfYkYLebBzM_120_180,2.4,10.8,How many pots are there?,2,19,28,8,0
34038,NOONOFnu8bE_60_120,0.0,5.24,What is the color of the screen within the screen?,It is green,It is blue,It is black,It is white,2
34128,U1sjqFX8ANg_0_60,55.22,60.03,What else does the woman add before sugar?,Put egg,Little egg,Three eggs,Some egg,2
28680,JDKalA5-ldg_60_120,6.14,19.05,How many pieces are there?,5,2,4,6,2
25005,yCjgyqSWEyM_60_120,27.22,37.5,What does she put the ingredients into?,A pot,A blender,An oven,A large can,1
24654,VojDW3P9gow_120_180,0.0,36.67,What she make in this video?,Ice,Cream,Cake,Ice cream,2
14238,Bm_U5Aee758_60_120,17.58,61.7,What happens?,He is prepared the food and explain,He is not explain,He is eating,Dance with some girl,0
42163,GSEPMiCqR_Q_60_120,9.66,25.96,Which two products do you need to make your natural odor air freshener?,Cuttert,Toilet paper and essential oil diluted in water,Stick,Pipe,1
14968,o-DOkYGGGFk_60_120,18.09,30.45,What is the color of the net?,Lavender,Black,Purple,Green,3
30760,e_1101c,7.2,14.1,What is the man wearing?,A shoe,A hat,Nothing at all,A flower shirt,3
28844,mB71rrMjBZQ_120_180,19.05,29.03,What does the women creating to do with the ingredient?,Gas burner,Rice cooker,Pasta roller,Small ball,3
6986,VxGL-BKLawo_120_180,0.0,52.46,What is the gender of the little kid hosting the video?,Agender,Male,Transgender,Female,3
8801,G2X6Fre5u9s_120_180,0.0,3.04,What color is the string used for this craft?,Black,Red,Blue,Green,1
35737,1603i,50.67,58.71,Which colour ball does the man hit?,The green ball,The black ball,The yellow ball,The blue ball,0
14687,KmeSLqTdCbo_180_240,13.22,25.53,What factors into the practical speed shooters seek?,Tapping on it,How fast you can shoulder the gun,Putting the modem somewhere else,A new antennae,1
27217,_fxJNi4SYg0_60_120,0.0,8.4,What is the woman using to scoop out contents from can?,A spatula,A fork,A spoon,A wooden spoon,0
19034,e9S38RGNe0Q_0_60,19.51,60.03,Where are these man sitting?,In the desert,In the sea,In the house,In the car,2
34786,J43o9juPEBI_120_180,0.0,36.12,What is the first thing you wanna do?,Do nothing,Look for color white,Pick something up,Find a piece of ribbon,3
25812,PizwI7IesUU_120_180,0.0,6.38,What is seen in the video?,Flowers,Painting,Plants,Car stereo,3
10109,rbXRxFrD9Lo_0_60,25.8,39.0,Where are the screws shown to have been applied?,With screws,Inside bicycle tires,With nails,With glue,1
6962,iU0REFh5DUo_120_180,43.53,52.47,When does the man begin talking about decks?,While the man is sitting down,While the man speaks to the camera,When the fire starts burning,Towards the end of the video,3
13313,YmAeeudzC_8_60_120,49.78,59.98,What happen?,Play game,The little boy explaing make steam model,I read the books,Going shop,1
32669,KkE_k_rNR0k_60_120,0.0,7.29,What type of sugar add to the pot?,White sugar,Brown sugar,Cane sugar,Unsweetened sugar,1
12096,OLl8hN3-M0o_60_120,0.0,4.62,Where is the measuring tape around?,Woman's waist,To the machine's left,Below the machine,Behind the machine,0
17044,53Q1VvtK3Gw_180_240,16.39,28.75,How many people in the video?,4,1,3,2,1
382,NKM7Ymg8dCM_180_240,19.28,28.64,How many women are shown on this video clipping?,More than five,One women,Nearly seven,Around eight,1
24449,xzTKUTBQUns_60_120,11.28,17.68,What kind of gloves does the person wear on their hands?,Cashmere gloves,Rubber gloves,Blue gloves,Mittens,1
9953,JKs-cRneTyE_60_120,0.0,12.91,What happens?,Walking throug garder,Watering the plant,They make food and put ingredient and mix well,He playing,2
8376,_z6lh74OUG0_180_240,7.96,28.54,How many fingers are in this video?,Three,Ten fingers,Four,Seven,1
33484,O0tuh1kehP8_0_60,4.5,60.03,What is the tool that is being used?,A blower,Grinder/buffer,A hammer,A saw,1
42358,4sUFFuKbtyo_60_120,0.0,9.23,What color is the man's shirt?,It's a white shirt,The color black,It's blue,A green shirt,1
36960,pjy_ELtGUJU_60_120,2.74,55.17,This video is edit the art?,Correct the art,Art,Adjustment,Needle,1
23126,rRQRVT5tJkc_60_120,0.0,16.15,How many material colours present in this video to you saw?,No colour material are present in this video,Three colours,No colour material are present in this video,No colour material are present in this video,1
444,Sww4jp7gj_A_180_240,8.09,29.2,How much time does the lady indicate for succession planting?,1 year,Two days,Three months,Three weeks,3
23120,6nkyZjlylD4_0_60,0.0,39.02,How is the color of the cap looks?,"Very quickly, it's an easy job",Green color,As fast as possible,Somewhat rapidly,1
1164,dz2S3buokDA_60_120,14.41,61.3,What handle the man in the hand?,Drums,Flute,Trumpet,Guitar,3
31587,mkoM46FUXy0_60_120,50.07,59.96,What object is used to cut out the shape?,Kitchen knife,Scissors,Exacto-knife,Paper cutter,2
32217,kmI8HjMH5vs_120_180,3.38,53.7,What is the color of the sparking lighter?,Green,Blue,Red,Yellow,0
1524,0l-UNwV2FNo_0_60,38.1,60.0,What used instead of fresh peppers to make sauce?,Dried peppers,Dried cumin,Dried mustard,Dried fennel,0
42482,QORRJA2o6Uc_180_240,16.35,39.49,Who is delivering the tutorial?,Girl,A lady,Man,Boy,2
41404,7UUwfY1GsXM_120_180,0.0,33.8,What is the man doing?,Plastic,Closing door,Playing,Red,1
27296,pXKUjCMOCG4_0_60,0.0,11.4,How many robot arms are in the video?,Six arms,Four arms,Two arms,Three arms,2
594,e_1195c,10.9,18.77,Which hand does person use to pick-up measuring cup first?,Left hand,No hands,Both hands,Right hand,3
5840,VUyyi_rDVUs_0_60,28.51,39.61,Where is the letter h found?,Bottom-right corner,Bottom-left corner,Top-left corner,Top-right corner,1
